Janela,Delta,Theta,Alpha,Beta,Gamma
30.0,0.0,89.2746612701533,86.83024918334905,100.0,4.3556227525227476
30.5,0.0,100.0,82.52974520613849,49.273272225524614,2.6875827402644683
31.0,0.0,100.0,70.48681433306227,27.535857813409258,0.02484504169848878
31.5,0.16759281907964962,100.00000000000001,68.6984281511444,30.928926802141817,0.0
32.0,0.0,100.00000000000001,82.96637485936698,40.305684766846234,0.06408604180216515
32.5,0.0,100.0,91.53484076191629,44.19903561980724,0.11408951338899453
33.0,0.0,100.0,98.82283862180323,47.93513960342808,0.23929666664501115
33.5,0.0,54.41204691480316,100.0,64.52964000784398,0.9932695626324808
34.0,0.0,44.869605513786006,99.99999999999999,69.40260667526682,1.190845896149379
34.5,0.0,47.37035901526085,100.00000000000001,62.23700770076142,1.0401887627817998
35.0,0.0,40.47524237648392,100.00000000000001,62.09038856347839,0.9134468380195029
35.5,0.0,39.338819147171634,100.0,63.24627042346753,0.9696277902275995
36.0,0.0,38.529275611580424,100.0,56.08972780003773,0.9037859240109306
36.5,0.0,40.64896529520895,99.99999999999999,57.20439872743164,0.8715485476196274
37.0,0.0,46.02258225037702,100.0,57.058698639773446,0.8180253842625584
37.5,0.0,51.402795591260066,100.0,61.815944133788086,0.8681398321291591
38.0,0.0,47.29369016310618,100.0,57.021382655623164,0.6971886485583775
38.5,0.0,43.974217074212525,100.00000000000001,56.17897529816987,0.9050525597801642
39.0,0.0,38.58730579399975,100.0,57.307041193098925,0.9852851668450056
39.5,0.0,24.536673235909294,100.0,34.560383677009064,0.6486779434380741
40.0,0.0,24.33145153369543,100.0,30.891768857193256,0.5336227773605802
40.5,0.0,20.48175307696093,100.00000000000001,25.89816420662706,0.4488468566651863
41.0,0.0,22.44371135707089,100.0,24.54322461359487,0.42107937178775845
41.5,0.0,18.279967169101038,100.0,21.83331621278995,0.3862316417095233
42.0,0.0,13.657942974997935,100.0,17.63772688261127,0.3060519181664428
42.5,0.0,13.271883625588774,100.0,17.185194601866467,0.3101884388575182
43.0,0.0,11.564133391795016,100.0,15.91231666546819,0.20618256602914226
43.5,0.0,10.542775347058976,100.0,14.481395984872938,0.17777336144561104
