Janela,Delta,Theta,Alpha,Beta,Gamma
11,1,100,40,2,0
12,0,100,22,2,0
13,0,99,62,9,0
14,0,51,81,100,9
15,0,43,42,100,8
16,0,35,43,100,8
17,0,100,65,98,10
18,0,18,36,100,11
19,0,61,71,99,5
20,0,7,36,100,6
21,0,7,35,100,9
22,0,67,100,80,9
23,0,100,56,54,8
24,0,100,60,75,6
25,0,14,25,99,7
26,0,13,40,100,5
27,0,28,55,99,5
28,0,100,68,25,0
29,0,100,60,13,0
30,0,100,61,18,0
31,0,79,99,82,1
32,0,43,100,76,0
33,0,25,99,48,0
34,0,36,100,57,1
